"start_date","casual","member","total"
"20/09/2010",34,178,212
"21/09/2010",109,215,324
"22/09/2010",117,260,377
"23/09/2010",124,249,373
"24/09/2010",156,206,362
"25/09/2010",267,272,539
"26/09/2010",230,307,537
"27/09/2010",64,222,286
"28/09/2010",101,310,411
"29/09/2010",77,345,422
"30/09/2010",19,140,159
"01/10/2010",164,414,578
"02/10/2010",397,442,839
"03/10/2010",222,283,505
"04/10/2010",58,268,326
"05/10/2010",86,538,624
"06/10/2010",94,569,663
"07/10/2010",162,707,869
"08/10/2010",218,696,914
"09/10/2010",570,539,1109
"10/10/2010",621,476,1097
"11/10/2010",350,617,967
"12/10/2010",248,832,1080
"13/10/2010",237,894,1131
"14/10/2010",72,501,573
"15/10/2010",280,857,1137
"16/10/2010",567,807,1374
"17/10/2010",597,735,1332
"18/10/2010",194,943,1137
"19/10/2010",194,955,1149
"20/10/2010",166,974,1140
"21/10/2010",194,1134,1328
"22/10/2010",237,1125,1362
"23/10/2010",760,938,1698
"24/10/2010",718,826,1544
"25/10/2010",227,1100,1327
"26/10/2010",267,1287,1554
"27/10/2010",142,875,1017
"28/10/2010",357,1337,1694
"29/10/2010",416,1236,1652
"30/10/2010",1157,1133,2290
"31/10/2010",988,954,1942
"01/11/2010",236,1215,1451
"02/11/2010",182,1223,1405
"03/11/2010",180,1310,1490
"04/11/2010",45,544,589
"05/11/2010",294,1560,1854
"06/11/2010",604,1212,1816
"07/11/2010",394,1020,1414
"08/11/2010",163,1436,1599
"09/11/2010",215,1719,1934
"10/11/2010",226,1822,2048
"11/11/2010",417,1632,2049
"12/11/2010",396,1624,2020
"13/11/2010",915,1350,2265
"14/11/2010",822,1183,2005
"15/11/2010",218,1517,1735
"16/11/2010",62,710,772
"17/11/2010",180,1743,1923
"18/11/2010",191,1665,1856
"19/11/2010",250,1704,1954
"20/11/2010",837,1514,2351
"21/11/2010",563,1189,1752
"22/11/2010",257,1648,1905
"23/11/2010",161,1604,1765
"24/11/2010",157,1322,1479
"25/11/2010",196,357,553
"26/11/2010",197,581,778
"27/11/2010",362,576,938
"28/11/2010",207,737,944
"29/11/2010",96,1388,1484
"30/11/2010",94,1165,1259
"01/12/2010",40,939,979
"02/12/2010",89,1369,1458
"03/12/2010",113,1473,1586
"04/12/2010",246,958,1204
"05/12/2010",166,845,1011
"06/12/2010",48,1134,1182
"07/12/2010",46,1026,1072
"08/12/2010",59,1075,1134
"09/12/2010",71,1197,1268
"10/12/2010",73,1203,1276
"11/12/2010",182,947,1129
"12/12/2010",43,377,420
"13/12/2010",46,987,1033
"14/12/2010",38,805,843
"15/12/2010",43,1006,1049
"16/12/2010",12,657,669
"17/12/2010",35,819,854
"18/12/2010",84,739,823
"19/12/2010",101,698,799
"20/12/2010",54,971,1025
"21/12/2010",50,986,1036
"22/12/2010",100,996,1096
"23/12/2010",61,677,738
"24/12/2010",72,271,343
"25/12/2010",102,86,188
"26/12/2010",15,69,84
"27/12/2010",26,272,298
"28/12/2010",69,620,689
"29/12/2010",111,812,923
"30/12/2010",148,955,1103
"31/12/2010",283,651,934
"01/01/2011",330,629,959
"02/01/2011",130,651,781
"03/01/2011",120,1181,1301
"04/01/2011",107,1429,1536
"05/01/2011",82,1489,1571
"06/01/2011",88,1485,1573
"07/01/2011",148,1345,1493
"08/01/2011",68,871,939
"09/01/2011",54,748,802
"10/01/2011",41,1257,1298
"11/01/2011",43,1188,1231
"12/01/2011",25,1116,1141
"13/01/2011",37,1346,1383
"14/01/2011",54,1330,1384
"15/01/2011",222,1018,1240
"16/01/2011",251,937,1188
"17/01/2011",117,876,993
"18/01/2011",9,663,672
"19/01/2011",78,1553,1631
"20/01/2011",81,1815,1896
"21/01/2011",73,1449,1522
"22/01/2011",93,876,969
"23/01/2011",150,827,977
"24/01/2011",86,1319,1405
"25/01/2011",186,1785,1971
"26/01/2011",34,466,500
"27/01/2011",15,409,424
"28/01/2011",38,1113,1151
"29/01/2011",123,947,1070
"30/01/2011",140,944,1084
"31/01/2011",42,1376,1418
"01/02/2011",47,1284,1331
"02/02/2011",72,1430,1502
"03/02/2011",61,1473,1534
"04/02/2011",88,1603,1691
"05/02/2011",100,892,992
"06/02/2011",354,1249,1603
"07/02/2011",119,1568,1687
"08/02/2011",64,1446,1510
"09/02/2011",52,1540,1592
"10/02/2011",46,1474,1520
"11/02/2011",148,1576,1724
"12/02/2011",288,1167,1455
"13/02/2011",396,1162,1558
"14/02/2011",207,1685,1892
"15/02/2011",139,1641,1780
"16/02/2011",218,1861,2079
"17/02/2011",258,2185,2443
"18/02/2011",578,2314,2892
"19/02/2011",532,1077,1609
"20/02/2011",639,1148,1787
"21/02/2011",195,898,1093
"22/02/2011",74,1358,1432
"23/02/2011",139,1740,1879
"24/02/2011",100,1686,1786
"25/02/2011",120,1323,1443
"26/02/2011",424,1519,1943
"27/02/2011",694,1677,2371
"28/02/2011",80,1350,1430
"01/03/2011",137,1695,1832
"02/03/2011",231,1878,2109
"03/03/2011",123,1536,1659
"04/03/2011",214,1709,1923
"05/03/2011",640,1414,2054
